               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,           0.0095959,                   0,           0.0010128,            0.084146,          0.00056585,          0.00012983,             0.11707,            0.027125,            0.040304,             0.00105,             0.00105,             0.09055
                   1,                   0,           0.0025213,                   0,           0.0013198,            0.029444,          0.00069121,          0.00013896,             0.11737,            0.027658,            0.040285,           0.0020687,           0.0020687,            0.080969
                   2,                   0,           0.0012307,                   0,           0.0014221,           0.0035729,          0.00072254,          0.00013114,              0.1172,            0.029212,            0.040255,           0.0029278,           0.0029278,            0.071228
                   3,                   0,          0.00072418,                   0,           0.0018452,          0.00058004,          0.00094935,          0.00017456,              0.1166,            0.031003,            0.040395,           0.0035325,           0.0035325,            0.061233
                   4,                   0,          0.00047836,                   0,           0.0039216,           0.0002586,           0.0019824,          0.00019824,             0.11644,            0.032304,            0.040342,           0.0038279,           0.0038279,            0.050928
                   5,                   0,           0.0003453,                   0,                   0,                   0,                   0,                   0,             0.11633,            0.033424,            0.040283,             0.00381,             0.00381,             0.04031
                   6,                   0,          0.00026759,                   0,                   0,                   0,                   0,                   0,             0.11596,             0.03448,            0.040276,           0.0035301,           0.0035301,             0.02943
                   7,                   0,          0.00021873,                   0,                   0,                   0,                   0,                   0,             0.11524,            0.035688,            0.040225,           0.0030906,           0.0030906,            0.018391
                   8,                   0,          0.00018413,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.036376,            0.040188,            0.002634,            0.002634,            0.007334
                   9,                   0,          0.00015933,                   0,                   0,                   0,                   0,                   0,             0.11513,            0.036807,            0.040142,           0.0021958,           0.0021958,           0.0021958
