               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.009596,                   0,           0.0014543,            0.012742,          0.00058882,          0.00012579,             0.11754,            0.026797,            0.040258,             0.00105,             0.00105,             0.09055
                   1,                   0,           0.0025143,                   0,           0.0012708,            0.028161,          0.00067074,          0.00013497,             0.11728,            0.027678,            0.040299,           0.0020996,           0.0020996,               0.081
                   2,                   0,           0.0012131,                   0,           0.0022461,           0.0044016,            0.001143,          0.00024076,             0.11671,             0.02958,            0.040279,           0.0031079,           0.0031079,            0.071408
                   3,                   0,          0.00069482,                   0,           0.0028284,          0.00058004,           0.0014462,          0.00049216,             0.11612,            0.031532,             0.04033,           0.0040456,           0.0040456,            0.061746
                   4,                   0,          0.00043966,                   0,                   0,                   0,                   0,                   0,             0.11601,            0.032986,            0.040301,           0.0048859,           0.0048859,            0.051986
                   5,                   0,          0.00029905,                   0,                   0,                   0,                   0,                   0,             0.11599,            0.034196,            0.040294,           0.0056061,           0.0056061,            0.042106
                   6,                   0,          0.00021518,                   0,                   0,                   0,                   0,                   0,              0.1159,            0.035366,            0.040344,           0.0061882,           0.0061882,            0.032088
                   7,                   0,          0.00016067,                   0,                   0,                   0,                   0,                   0,             0.11537,            0.036871,             0.04023,           0.0066201,           0.0066201,             0.02192
                   8,                   0,          0.00012116,                   0,                   0,                   0,                   0,                   0,             0.11482,            0.038283,            0.040203,            0.006896,            0.006896,            0.011596
                   9,                   0,          9.3428e-05,                   0,                   0,                   0,                   0,                   0,             0.11462,            0.039375,            0.040168,           0.0066257,           0.0066257,           0.0066257
                  10,                   0,          7.3773e-05,                   0,                   0,                   0,                   0,                   0,             0.11441,            0.040357,            0.040155,           0.0066257,           0.0066257,           0.0066257
                  11,                   0,          6.1145e-05,                   0,                   0,                   0,                   0,                   0,             0.11421,            0.041126,            0.040126,               0.006,               0.006,               0.006
