               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.011618,                   0,           0.0010954,             0.03682,          0.00054507,          0.00011158,             0.11562,            0.027646,            0.040427,             0.00062,             0.00062,             0.09442
                   1,                   0,           0.0038241,                   0,           0.0015312,            0.015935,          0.00068819,          0.00014863,              0.1162,            0.026902,            0.040173,            0.001249,            0.001249,            0.088749
                   2,                   0,           0.0020274,                   0,           0.0018169,            0.033286,          0.00095903,            0.000226,             0.11681,            0.027265,            0.040107,           0.0018741,           0.0018741,            0.083074
                   3,                   0,           0.0012634,                   0,           0.0020404,           0.0084619,            0.001047,          0.00025912,             0.11702,            0.028067,            0.040147,           0.0024922,           0.0024922,            0.077392
                   4,                   0,          0.00085879,                   0,           0.0022369,           0.0023433,           0.0011413,          0.00023806,             0.11691,            0.029078,            0.040178,           0.0031005,           0.0031005,            0.071701
                   5,                   0,          0.00062694,                   0,           0.0018562,          0.00078111,            0.000948,          0.00023101,             0.11686,            0.029952,            0.040145,           0.0036962,           0.0036962,            0.065996
                   6,                   0,           0.0004669,                   0,           0.0029025,          0.00050994,           0.0014645,          0.00034267,             0.11663,            0.030958,            0.040111,           0.0042764,           0.0042764,            0.060276
                   7,                   0,          0.00035759,                   0,           0.0017094,          0.00023878,          0.00085577,          0.00025673,             0.11645,             0.03187,            0.040102,           0.0048385,           0.0048385,            0.054539
                   8,                   0,          0.00028055,                   0,                   0,                   0,                   0,                   0,             0.11642,            0.032634,             0.04008,             0.00538,             0.00538,             0.04878
                   9,                   0,          0.00022425,                   0,                   0,                   0,                   0,                   0,             0.11639,             0.03339,            0.040065,           0.0058983,           0.0058983,            0.042998
                  10,                   0,          0.00018197,                   0,                   0,                   0,                   0,                   0,             0.11627,            0.034164,            0.040049,           0.0063914,           0.0063914,            0.037191
                  11,                   0,           0.0001494,                   0,                   0,                   0,                   0,                   0,             0.11607,            0.034989,            0.040046,           0.0068569,           0.0068569,            0.031357
                  12,                   0,          0.00012388,                   0,                   0,                   0,                   0,                   0,             0.11592,            0.035742,             0.04002,           0.0072932,           0.0072932,            0.025493
                  13,                   0,          0.00010344,                   0,                   0,                   0,                   0,                   0,             0.11559,             0.03664,            0.040007,           0.0076983,           0.0076983,            0.019598
                  14,                   0,          8.6966e-05,                   0,                   0,                   0,                   0,                   0,             0.11537,            0.037447,            0.039999,           0.0080709,           0.0080709,            0.013671
                  15,                   0,          7.4088e-05,                   0,                   0,                   0,                   0,                   0,             0.11508,            0.038195,            0.039976,           0.0083511,           0.0083511,           0.0083511
                  16,                   0,          6.3591e-05,                   0,                   0,                   0,                   0,                   0,             0.11502,            0.038802,            0.039941,           0.0083511,           0.0083511,           0.0083511
                  17,                   0,          5.4607e-05,                   0,                   0,                   0,                   0,                   0,             0.11494,            0.039388,            0.039915,           0.0081433,           0.0081433,           0.0081433
                  18,                   0,          4.7762e-05,                   0,                   0,                   0,                   0,                   0,             0.11497,            0.039804,            0.039891,            0.007927,            0.007927,            0.007927
