               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.011472,                   0,          0.00093844,            0.037045,          0.00047599,          0.00010031,             0.12225,            0.021681,            0.029132,             0.00062,             0.00062,             0.09442
                   1,                   0,           0.0038526,                   0,           0.0012302,             0.03683,          0.00056375,           0.0001188,             0.12394,            0.019928,            0.029186,            0.001249,            0.001249,            0.088749
                   2,                   0,           0.0020441,                   0,           0.0012777,            0.073888,          0.00070292,          0.00014351,             0.12327,            0.020357,            0.029175,           0.0018741,           0.0018741,            0.083074
                   3,                   0,           0.0012744,                   0,           0.0014699,            0.020079,           0.0007634,          0.00016255,             0.12339,             0.02082,            0.029218,           0.0024922,           0.0024922,            0.077392
                   4,                   0,          0.00086683,                   0,           0.0012037,           0.0041479,          0.00062239,          0.00015259,             0.12375,            0.021293,            0.029317,           0.0031005,           0.0031005,            0.071701
                   5,                   0,          0.00063295,                   0,           0.0019977,           0.0020687,           0.0010063,          0.00024258,             0.12397,            0.021808,            0.029448,           0.0036962,           0.0036962,            0.065996
                   6,                   0,          0.00047131,                   0,           0.0010322,          0.00042008,          0.00051887,          0.00010377,             0.12381,            0.022464,            0.029407,           0.0042764,           0.0042764,            0.060276
                   7,                   0,          0.00036085,                   0,                   0,                   0,                   0,                   0,             0.12383,            0.022994,            0.029476,           0.0048385,           0.0048385,            0.054539
                   8,                   0,          0.00028294,                   0,                   0,                   0,                   0,                   0,             0.12371,            0.023559,            0.029516,             0.00538,             0.00538,             0.04878
                   9,                   0,          0.00022597,                   0,                   0,                   0,                   0,                   0,             0.12348,            0.024186,            0.029469,           0.0058983,           0.0058983,            0.042998
                  10,                   0,          0.00018323,                   0,                   0,                   0,                   0,                   0,             0.12326,            0.024781,            0.029416,           0.0063914,           0.0063914,            0.037191
                  11,                   0,          0.00015031,                   0,                   0,                   0,                   0,                   0,             0.12296,            0.025387,            0.029317,           0.0068569,           0.0068569,            0.031357
                  12,                   0,          0.00012452,                   0,                   0,                   0,                   0,                   0,             0.12287,            0.025887,            0.029325,           0.0072932,           0.0072932,            0.025493
