               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0915,             0.07148,              0.0273,           0.0088757,             0.11671,           0.0049352,          0.00097383,            0.097174,             0.10355,            0.026597,             0.00077,             0.00077,             0.09307
                   1,            0.071692,            0.094088,            0.024817,            0.051083,             0.11775,            0.027746,           0.0053567,            0.091733,             0.10132,            0.023054,           0.0015451,           0.0015451,            0.086045
                   2,            0.066895,            0.093691,            0.019069,             0.09264,             0.10618,            0.042573,           0.0085486,             0.09055,            0.095754,             0.01815,           0.0023007,           0.0023007,            0.079001
                   3,            0.065805,            0.090653,            0.013563,             0.10534,             0.11512,            0.050241,            0.010205,            0.088627,            0.095799,             0.01539,           0.0030226,           0.0030226,            0.071923
                   4,            0.064749,            0.087961,            0.010586,              0.5091,            0.024405,            0.012842,           0.0025502,            0.091828,             0.11182,             0.07173,           0.0036975,           0.0036975,            0.064798
                   5,            0.064898,             0.08251,            0.010301,            0.092091,             0.12411,            0.043058,            0.008862,            0.091233,            0.095997,            0.014783,           0.0043132,           0.0043132,            0.057613
                   6,            0.062344,            0.070201,           0.0088336,             0.03614,             0.15649,            0.017072,           0.0041492,            0.093692,            0.096436,            0.071336,           0.0048592,           0.0048592,            0.050359
                   7,            0.062626,            0.081187,           0.0049157,             0.51812,            0.021178,            0.018417,           0.0055423,            0.088374,             0.13719,            0.063384,           0.0053265,           0.0053265,            0.043026
                   8,             0.05978,            0.068684,            0.011512,            0.049721,            0.077537,            0.026006,           0.0046878,            0.090029,             0.22599,            0.024949,           0.0057085,           0.0057085,            0.035608
                   9,            0.065728,            0.064406,            0.010074,             0.02612,             0.14866,            0.017672,           0.0047415,            0.091386,              0.1226,            0.054169,           0.0060007,           0.0060007,            0.028101
                  10,            0.064745,            0.080356,           0.0085225,            0.081611,             0.21115,             0.04544,            0.010401,            0.088706,            0.099733,            0.056908,           0.0062013,           0.0062013,            0.020501
                  11,            0.056898,             0.05677,           0.0068684,            0.048141,             0.11426,            0.022668,             0.00513,            0.091416,             0.11113,            0.049269,           0.0063108,           0.0063108,            0.012811
                  12,            0.057533,            0.065717,            0.005394,            0.058011,              0.1507,            0.026978,           0.0059676,            0.090587,             0.10873,            0.057741,           0.0062512,           0.0062512,           0.0062512
                  13,            0.055852,            0.051977,            0.011587,            0.058134,             0.10841,            0.025692,           0.0052337,            0.091766,             0.11506,            0.026265,           0.0062512,           0.0062512,           0.0062512
                  14,            0.058917,            0.073237,             0.01707,            0.083509,            0.085409,            0.033186,           0.0064808,            0.091354,             0.10711,            0.022117,           0.0057488,           0.0057488,           0.0057488
                  15,            0.056418,            0.070638,           0.0081023,            0.033741,              0.1917,            0.017374,           0.0039367,            0.092409,             0.11741,            0.069531,           0.0052505,           0.0052505,           0.0052505
                  16,            0.060748,             0.06084,           0.0035106,            0.064202,             0.14489,            0.032177,           0.0074154,            0.091678,             0.11269,            0.060072,           0.0047639,           0.0047639,           0.0047639
                  17,            0.057529,            0.050261,           0.0037465,            0.048099,            0.067286,            0.031089,           0.0084547,            0.090354,              0.1498,            0.043442,           0.0042969,           0.0042969,           0.0042969
                  18,            0.060258,             0.05551,           0.0041934,            0.030732,            0.085776,            0.011677,           0.0026718,            0.095587,             0.11312,            0.053853,           0.0038567,           0.0038567,           0.0038567
                  19,            0.044585,            0.048667,           0.0054355,            0.032134,            0.064586,            0.016403,           0.0049764,            0.091518,             0.13284,            0.046735,           0.0034503,           0.0034503,           0.0034503
                  20,            0.053657,            0.046863,           0.0044916,            0.061627,             0.10405,            0.028773,           0.0065024,            0.091623,             0.13231,            0.054964,           0.0030841,           0.0030841,           0.0030841
                  21,            0.039605,            0.037978,           0.0068443,            0.085554,            0.098245,            0.034833,            0.007943,             0.09242,             0.12716,            0.039924,           0.0027639,           0.0027639,           0.0027639
                  22,            0.050365,            0.043472,            0.012735,            0.098939,            0.088869,            0.042813,           0.0093963,            0.092588,             0.12188,            0.016695,           0.0024948,           0.0024948,           0.0024948
                  23,            0.060598,            0.054392,            0.009118,            0.091414,              0.1005,            0.046122,            0.011078,            0.092522,             0.13138,            0.026958,           0.0022809,           0.0022809,           0.0022809
                  24,            0.038847,            0.035041,           0.0081199,            0.088071,             0.10053,            0.041559,           0.0098695,            0.093472,             0.12536,            0.040756,           0.0021257,           0.0021257,           0.0021257
