               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097049,            0.071166,            0.027598,           0.0020541,            0.056445,           0.0010579,          0.00019805,             0.10091,            0.034984,            0.026591,             0.00045,             0.00045,             0.09595
                   1,            0.077442,            0.097545,            0.026459,            0.015176,             0.03431,           0.0039792,          0.00076464,            0.094901,            0.045494,            0.024924,          0.00090982,          0.00090982,             0.09181
                   2,            0.070693,              0.1009,            0.023916,            0.017996,            0.059361,           0.0073024,           0.0013953,            0.092933,            0.053558,            0.022335,           0.0013689,           0.0013689,            0.087669
                   3,              0.0672,            0.099074,            0.019465,            0.025518,              0.1026,           0.0097417,           0.0015493,            0.092986,            0.051992,            0.018817,           0.0018268,           0.0018268,            0.083527
                   4,            0.065204,            0.095776,             0.01526,            0.021086,             0.10082,            0.010512,           0.0017353,            0.093096,            0.047292,            0.017395,           0.0022828,           0.0022828,            0.079383
                   5,            0.062976,            0.090106,            0.012219,            0.029187,            0.064298,           0.0078303,           0.0014111,            0.095336,             0.03052,            0.016489,           0.0027365,           0.0027365,            0.075236
                   6,            0.061486,            0.088979,            0.010923,            0.028063,            0.066043,            0.011231,           0.0028512,            0.093237,              0.0485,            0.017235,           0.0031873,           0.0031873,            0.071087
                   7,            0.063992,            0.088364,            0.010175,            0.033945,            0.057643,            0.010034,           0.0019256,            0.090836,            0.058302,            0.016627,           0.0036346,           0.0036346,            0.066935
                   8,            0.063693,            0.084784,           0.0095627,            0.046792,            0.048266,            0.010721,           0.0020372,             0.09148,            0.045749,            0.015885,           0.0040781,           0.0040781,            0.062778
                   9,            0.068736,            0.083729,           0.0096444,            0.016117,             0.16982,           0.0084676,           0.0015665,            0.092639,            0.064993,            0.035499,           0.0045171,           0.0045171,            0.058617
                  10,            0.099769,            0.081555,            0.011076,             0.51089,            0.046575,            0.012661,           0.0071627,            0.093898,             0.34461,             0.12148,           0.0049511,           0.0049511,            0.054451
                  11,            0.074659,            0.076147,             0.01117,             0.00695,             0.16371,           0.0030019,          0.00064038,            0.093765,            0.095167,            0.043644,           0.0053797,           0.0053797,             0.05028
                  12,              0.1003,            0.071165,           0.0093053,            0.010454,             0.07991,           0.0032021,          0.00060278,            0.097804,            0.046991,            0.039883,           0.0058023,           0.0058023,            0.046102
                  13,            0.058608,            0.054491,            0.011317,            0.014303,            0.039654,           0.0043622,          0.00093362,            0.095669,             0.03605,            0.027284,           0.0062185,           0.0062185,            0.041918
                  14,            0.096919,            0.078796,            0.008799,             0.53591,            0.024658,           0.0068127,           0.0012574,            0.097268,             0.12779,            0.095524,           0.0066277,           0.0066277,            0.037728
                  15,            0.065905,            0.066622,           0.0091488,            0.028194,            0.035151,           0.0059863,           0.0011383,            0.091677,            0.041959,            0.034169,           0.0070296,           0.0070296,             0.03353
                  16,             0.07439,            0.068972,           0.0096387,            0.010411,             0.13371,            0.003586,          0.00072056,            0.096532,             0.11466,            0.052172,           0.0074236,           0.0074236,            0.029324
