               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.011261,                   0,           0.0069472,            0.029958,           0.0027117,          0.00057043,             0.12292,            0.064323,            0.029168,             0.00077,             0.00077,             0.09307
                   1,                   0,           0.0036426,                   0,           0.0064437,            0.036225,            0.002764,          0.00057521,             0.12412,            0.066491,            0.029099,           0.0015451,           0.0015451,            0.086045
                   2,                   0,           0.0018801,                   0,           0.0056509,            0.060844,           0.0031209,          0.00066403,             0.12366,            0.070847,            0.029248,           0.0023007,           0.0023007,            0.079001
                   3,                   0,           0.0011635,                   0,           0.0081451,            0.019302,           0.0042737,          0.00098678,             0.12351,            0.074661,            0.029252,           0.0030226,           0.0030226,            0.071923
                   4,                   0,          0.00076575,                   0,           0.0075186,           0.0058838,           0.0062709,           0.0015599,             0.12305,            0.078647,            0.029297,           0.0036975,           0.0036975,            0.064798
                   5,                   0,          0.00054068,                   0,           0.0084081,           0.0022302,           0.0066988,           0.0014554,             0.12315,            0.081369,            0.029225,           0.0043132,           0.0043132,            0.057613
                   6,                   0,          0.00039782,                   0,            0.008845,           0.0010114,           0.0045514,           0.0008084,             0.12281,            0.084527,            0.029188,           0.0048592,           0.0048592,            0.050359
                   7,                   0,          0.00030286,                   0,           0.0078125,          0.00040339,           0.0039866,          0.00079716,             0.12228,            0.088059,            0.029154,           0.0053265,           0.0053265,            0.043026
                   8,                   0,          0.00023718,                   0,           0.0090909,          0.00020169,           0.0045694,          0.00045694,             0.12181,             0.09121,            0.029252,           0.0057085,           0.0057085,            0.035608
                   9,                   0,           0.0001932,                   0,                   0,                   0,                   0,                   0,             0.12175,             0.09314,            0.029181,           0.0060007,           0.0060007,            0.028101
                  10,                   0,           0.0001567,                   0,                   0,                   0,                   0,                   0,             0.12177,            0.094929,            0.029118,           0.0062013,           0.0062013,            0.020501
                  11,                   0,          0.00012843,                   0,                   0,                   0,                   0,                   0,             0.12212,            0.096135,            0.029075,           0.0063108,           0.0063108,            0.012811
                  12,                   0,          0.00010638,                   0,                   0,                   0,                   0,                   0,             0.12176,              0.0989,            0.029083,           0.0062512,           0.0062512,           0.0062512
                  13,                   0,          8.8733e-05,                   0,                   0,                   0,                   0,                   0,             0.12196,            0.099621,            0.028981,           0.0062512,           0.0062512,           0.0062512
                  14,                   0,          7.5877e-05,                   0,                 0.5,          0.00020169,              0.2501,             0.05002,              0.1222,             0.10073,            0.028872,           0.0057488,           0.0057488,           0.0057488
                  15,                   0,          6.7021e-05,                   0,                   0,                   0,                   0,                   0,             0.12207,             0.10271,            0.028966,           0.0052505,           0.0052505,           0.0052505
                  16,                   0,          6.0619e-05,                   0,                 0.5,          0.00020169,              0.2501,             0.07503,             0.12197,             0.10374,             0.02886,           0.0047639,           0.0047639,           0.0047639
                  17,                   0,          5.5851e-05,                   0,                   0,                   0,                   0,                   0,             0.12186,             0.10467,            0.028803,           0.0042969,           0.0042969,           0.0042969
                  18,                   0,          5.2182e-05,                   0,                   0,                   0,                   0,                   0,             0.12174,             0.10551,            0.028779,           0.0038567,           0.0038567,           0.0038567
                  19,                   0,          4.9315e-05,                   0,                   0,                   0,                   0,                   0,             0.12168,              0.1062,            0.028759,           0.0034503,           0.0034503,           0.0034503
                  20,                   0,          4.7031e-05,                   0,                   0,                   0,                   0,                   0,             0.12162,             0.10673,            0.028757,           0.0030841,           0.0030841,           0.0030841
                  21,                   0,           4.518e-05,                   0,                   0,                   0,                   0,                   0,             0.12164,              0.1071,            0.028745,           0.0027639,           0.0027639,           0.0027639
                  22,                   0,          4.3623e-05,                   0,                   0,                   0,                   0,                   0,             0.12152,             0.10761,            0.028725,           0.0024948,           0.0024948,           0.0024948
                  23,                   0,          4.2296e-05,                   0,                   0,                   0,                   0,                   0,             0.12147,             0.10804,            0.028718,           0.0022809,           0.0022809,           0.0022809
                  24,                   0,           4.116e-05,                   0,                   0,                   0,                   0,                   0,             0.12146,             0.10836,            0.028702,           0.0021257,           0.0021257,           0.0021257
