               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13734,           0.0028966,           0.0021802,                   0,                   0,                   0,                   0,              0.1616,           0.0039925,           0.0020945,               3e-05,               3e-05,             0.09973
                   1,             0.12762,           0.0026087,           0.0021733,                   0,                   0,                   0,                   0,             0.15799,           0.0036351,           0.0019539,           6.863e-05,           6.863e-05,            0.099369
                   2,             0.12611,           0.0023504,           0.0020163,                   0,                   0,                   0,                   0,             0.15668,           0.0032996,           0.0017979,           0.0001016,           0.0001016,            0.099002
                   3,             0.12539,            0.002113,           0.0018499,                   0,                   0,                   0,                   0,               0.156,            0.002968,            0.001636,          0.00012527,          0.00012527,            0.098625
                   4,             0.12493,           0.0018966,           0.0016851,                   0,                   0,                   0,                   0,             0.15559,           0.0026537,           0.0014828,          0.00013749,          0.00013749,            0.098237
                   5,             0.12462,           0.0017043,           0.0015333,                   0,                   0,                   0,                   0,              0.1553,            0.002386,            0.001349,            0.000138,            0.000138,            0.097838
                   6,             0.12438,            0.001548,           0.0014011,                   0,                   0,                   0,                   0,             0.15514,           0.0021884,           0.0012343,          0.00012863,          0.00012863,            0.097429
                   7,              0.1242,           0.0014265,           0.0012953,                   0,                   0,                   0,                   0,             0.15499,           0.0020425,           0.0011447,          0.00011311,          0.00011311,            0.097013
                   8,             0.12405,           0.0013388,           0.0012124,                   0,                   0,                   0,                   0,             0.15489,           0.0019364,            0.001076,          9.6738e-05,          9.6738e-05,            0.096597
                   9,             0.12393,           0.0012658,           0.0011517,                   0,                   0,                   0,                   0,             0.15481,           0.0018388,           0.0010303,          8.5635e-05,          8.5635e-05,            0.096186
