               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09169,            0.049932,            0.020483,           0.0025259,            0.039849,           0.0010243,          0.00022121,             0.11789,            0.059447,            0.027835,               3e-05,               3e-05,             0.09973
                   1,             0.12013,            0.080701,            0.027798,           0.0027204,            0.042427,            0.001262,          0.00030843,             0.11543,            0.061551,            0.027451,          6.9779e-05,          6.9779e-05,             0.09937
                   2,               0.116,            0.089554,            0.027763,           0.0028233,            0.050159,           0.0012505,          0.00033498,             0.11108,            0.065724,            0.026889,          0.00010862,          0.00010862,            0.099009
                   3,              0.1102,             0.10334,            0.027642,           0.0033698,            0.042427,           0.0013873,          0.00030341,             0.10648,            0.070378,            0.026455,          0.00014579,          0.00014579,            0.098646
                   4,             0.10438,             0.11657,            0.027553,           0.0024604,            0.057891,           0.0013217,          0.00028061,              0.1033,            0.072867,            0.025804,           0.0001806,           0.0001806,            0.098281
                   5,            0.099307,              0.1285,             0.02746,           0.0018881,            0.047581,          0.00097519,          0.00018255,             0.10087,            0.075253,            0.025417,          0.00021243,          0.00021243,            0.097912
                   6,            0.095492,             0.13738,             0.02737,           0.0026448,            0.077121,           0.0014328,           0.0003679,            0.099813,            0.076014,            0.025176,          0.00024073,          0.00024073,            0.097541
                   7,            0.092826,             0.14413,            0.027344,           0.0055492,            0.015464,           0.0023538,          0.00054896,            0.099535,            0.075655,            0.025002,          0.00026504,          0.00026504,            0.097165
                   8,            0.090966,             0.14824,            0.027298,            0.029926,            0.015464,           0.0042128,           0.0011806,            0.099061,            0.075399,            0.024958,          0.00028502,          0.00028502,            0.096785
                   9,            0.089399,             0.15022,            0.027229,            0.059885,            0.033505,            0.013369,           0.0033271,            0.098706,            0.075634,            0.025029,          0.00030042,          0.00030042,              0.0964
                  10,            0.088139,             0.14901,            0.027153,             0.08736,            0.064387,            0.029166,           0.0065646,             0.09826,            0.076473,            0.025141,          0.00031115,          0.00031115,            0.096011
                  11,            0.087642,              0.1462,            0.027171,             0.06855,             0.11201,            0.034606,           0.0081451,            0.097658,            0.076082,            0.025115,          0.00031723,          0.00031723,            0.095617
                  12,            0.086503,             0.14495,            0.027075,             0.13801,            0.081086,             0.03932,           0.0080978,            0.096654,            0.080033,            0.025364,          0.00031881,          0.00031881,            0.095219
                  13,            0.085473,             0.14252,            0.026993,             0.10929,             0.12748,            0.056106,            0.010949,            0.095893,            0.080236,            0.025269,          0.00031619,          0.00031619,            0.094816
                  14,            0.084576,             0.14073,            0.026834,            0.084903,             0.15583,              0.0524,            0.010625,            0.095406,            0.080952,            0.025113,          0.00030978,          0.00030978,             0.09441
                  15,            0.084269,              0.1381,            0.026649,            0.080082,             0.14175,            0.056367,            0.010836,            0.095059,            0.081631,             0.02474,          0.00030013,          0.00030013,               0.094
                  16,            0.083624,              0.1359,            0.026352,            0.095268,             0.12194,            0.056071,           0.0096417,            0.095656,            0.081093,            0.024197,          0.00028789,          0.00028789,            0.093588
                  17,            0.082961,             0.13365,            0.026027,            0.084754,             0.17129,            0.058225,            0.010219,            0.094537,            0.078981,             0.02382,          0.00027383,          0.00027383,            0.093174
                  18,            0.081766,             0.13168,            0.025817,             0.08508,             0.15062,            0.055206,           0.0097432,            0.093524,            0.080711,            0.023271,          0.00025877,          0.00025877,            0.092759
                  19,            0.080771,             0.13012,            0.025276,             0.13432,             0.11598,            0.071369,            0.011609,            0.092988,            0.079352,            0.022724,          0.00024365,          0.00024365,            0.092344
                  20,            0.079722,             0.12852,             0.02461,            0.088761,             0.14433,             0.06356,            0.011034,            0.092474,            0.078398,            0.022151,          0.00022941,          0.00022941,            0.091929
                  21,            0.078812,             0.12677,            0.023847,             0.10116,             0.14433,            0.069157,            0.011474,            0.092067,            0.077707,            0.021522,          0.00021705,          0.00021705,            0.091517
                  22,            0.077728,              0.1253,            0.022878,             0.10501,             0.14948,            0.068432,            0.012107,            0.091351,            0.078165,            0.020714,          0.00020756,          0.00020756,            0.091108
                  23,            0.076706,             0.12395,             0.02169,             0.12042,             0.14635,            0.078576,            0.012708,            0.090595,            0.077694,            0.020165,          0.00020194,          0.00020194,            0.090702
                  24,            0.075946,             0.12275,            0.020866,             0.12419,             0.16753,            0.087534,            0.014123,            0.090296,             0.07719,            0.019502,          0.00020112,          0.00020112,            0.090301
