               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09169,            0.049934,            0.020483,           0.0025737,            0.045004,           0.0011145,          0.00023035,             0.11788,            0.059381,            0.027838,               3e-05,               3e-05,             0.09973
                   1,             0.12012,            0.080764,            0.027797,           0.0026999,            0.042427,            0.001259,          0.00030786,             0.11542,            0.061588,            0.027454,          6.9779e-05,          6.9779e-05,             0.09937
                   2,             0.11599,             0.08969,            0.027766,           0.0028191,            0.050159,           0.0012485,          0.00033475,              0.1111,            0.065521,            0.026882,          0.00010862,          0.00010862,            0.099009
                   3,             0.11023,             0.10329,            0.027646,           0.0025478,            0.047581,           0.0013025,           0.0003158,             0.10668,              0.0698,            0.026358,          0.00014579,          0.00014579,            0.098646
                   4,             0.10434,             0.11705,            0.027554,           0.0026314,            0.060468,           0.0014301,          0.00026962,             0.10321,            0.073106,            0.025868,           0.0001806,           0.0001806,            0.098281
                   5,            0.099132,             0.12911,            0.027455,           0.0023996,            0.071967,           0.0012802,          0.00024008,             0.10105,            0.075119,            0.025504,          0.00021243,          0.00021243,            0.097912
                   6,            0.095393,             0.13686,            0.027366,           0.0025508,            0.060468,            0.001385,          0.00034516,             0.10013,            0.075476,            0.025187,          0.00024073,          0.00024073,            0.097541
                   7,            0.092743,             0.14461,            0.027379,           0.0067525,            0.015464,           0.0020849,          0.00055942,             0.09984,            0.075127,            0.025024,          0.00026504,          0.00026504,            0.097165
                   8,            0.090976,             0.14819,            0.027336,            0.015852,            0.020619,           0.0041058,           0.0009913,             0.09917,            0.075277,             0.02489,          0.00028502,          0.00028502,            0.096785
                   9,            0.089536,             0.15001,            0.027283,            0.052822,            0.025773,            0.011445,           0.0029286,            0.098751,            0.075147,             0.02498,          0.00030042,          0.00030042,              0.0964
