               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074244,          0.00034652,           0.0027459,           0.0012514,            0.015152,          0.00041253,          0.00010534,             0.07116,          0.00069835,           0.0028593,             0.00015,             0.00015,             0.09865
                   1,            0.070595,          0.00048441,           0.0025943,           0.0046863,            0.030303,          0.00078138,          0.00018202,            0.067162,          0.00090772,           0.0027845,          0.00030999,          0.00030999,             0.09721
                   2,            0.066689,          0.00065766,           0.0024003,           0.0022403,            0.030303,           0.0006122,          0.00017978,            0.063179,           0.0011076,           0.0026687,          0.00046996,          0.00046996,             0.09577
                   3,            0.062469,          0.00084283,           0.0021399,            0.084102,            0.024585,              0.0209,           0.0025526,             0.05736,           0.0013829,           0.0025732,          0.00062988,          0.00062988,             0.09433
                   4,            0.057822,           0.0010906,            0.001879,            0.018753,            0.015152,           0.0019904,           0.0002907,            0.055293,           0.0015253,           0.0023041,          0.00078972,          0.00078972,             0.09289
                   5,            0.054348,           0.0013335,           0.0016638,            0.053033,            0.015152,           0.0038205,          0.00065526,            0.053535,           0.0016758,           0.0022045,          0.00094948,          0.00094948,            0.091449
                   6,              0.0509,           0.0016022,           0.0014615,           0.0046857,            0.052887,           0.0023583,          0.00050053,            0.052257,           0.0018051,           0.0020622,           0.0011091,           0.0011091,            0.090009
                   7,            0.048333,           0.0018282,            0.001318,           0.0062509,            0.037736,           0.0036349,          0.00081727,            0.051581,           0.0018606,            0.001963,           0.0012686,           0.0012686,            0.088569
                   8,            0.046123,           0.0020323,           0.0012049,           0.0076881,             0.18696,           0.0044976,          0.00089977,            0.051488,           0.0018504,             0.00191,            0.001428,            0.001428,            0.087128
                   9,            0.044154,           0.0022321,           0.0011188,            0.019711,             0.11521,            0.010242,           0.0023203,            0.049981,           0.0019799,           0.0018768,           0.0015872,           0.0015872,            0.085687
                  10,            0.042562,           0.0023988,           0.0010463,            0.022401,             0.20383,            0.011999,            0.002303,            0.049764,           0.0019789,           0.0018528,           0.0017462,           0.0017462,            0.084246
                  11,            0.041203,           0.0025413,          0.00098759,            0.043235,             0.14151,            0.027659,           0.0055747,             0.04881,           0.0020443,            0.001795,           0.0019049,           0.0019049,            0.082805
                  12,            0.040123,           0.0026335,          0.00094464,            0.041202,             0.10377,            0.020629,           0.0033961,             0.05024,           0.0018843,           0.0017861,           0.0020635,           0.0020635,            0.081363
                  13,            0.039117,            0.002716,          0.00090672,            0.080222,             0.16981,            0.050054,           0.0096682,            0.048195,           0.0020719,           0.0017985,           0.0022217,           0.0022217,            0.079922
                  14,            0.039193,           0.0026907,           0.0008853,            0.070381,             0.26415,            0.056831,            0.012049,            0.049003,            0.001926,           0.0017743,           0.0023797,           0.0023797,             0.07848
                  15,            0.038223,            0.002757,          0.00086651,            0.032054,             0.17925,            0.021238,             0.00399,            0.050933,           0.0017173,           0.0017694,           0.0025374,           0.0025374,            0.077037
                  16,            0.037676,            0.002771,          0.00084975,             0.06397,             0.22642,            0.046496,           0.0096809,            0.046442,           0.0021764,           0.0017303,           0.0026948,           0.0026948,            0.075595
                  17,            0.037801,           0.0026856,          0.00084724,            0.090623,             0.23183,            0.065801,             0.01155,            0.045546,           0.0021901,           0.0017601,           0.0028519,           0.0028519,            0.074152
                  18,            0.035769,           0.0028501,          0.00083712,              0.0507,             0.15666,            0.020708,            0.004008,            0.051285,           0.0016232,           0.0017165,           0.0030085,           0.0030085,            0.072709
                  19,            0.035502,           0.0027973,          0.00081681,            0.084101,              0.1944,            0.028577,           0.0062275,            0.050872,           0.0016022,            0.001715,           0.0031648,           0.0031648,            0.071265
                  20,            0.034959,           0.0027293,          0.00080092,              0.0783,             0.10949,            0.025748,           0.0037491,            0.051681,           0.0015269,           0.0017012,           0.0033207,           0.0033207,            0.069821
                  21,            0.034074,           0.0027447,          0.00078723,            0.070394,             0.26415,            0.065378,            0.011586,            0.046174,           0.0018935,           0.0016625,           0.0034762,           0.0034762,            0.068376
                  22,            0.033861,           0.0026601,          0.00078091,             0.61042,            0.037736,            0.024836,           0.0041986,            0.053657,           0.0012524,           0.0016844,           0.0036312,           0.0036312,            0.066931
                  23,            0.034158,           0.0025136,          0.00076686,             0.69242,            0.084906,            0.061419,            0.011154,            0.049744,           0.0014979,           0.0016186,           0.0037858,           0.0037858,            0.065486
                  24,             0.03258,           0.0025513,          0.00075477,             0.09585,             0.17925,             0.09073,            0.015646,            0.043654,           0.0019628,           0.0016659,           0.0039399,           0.0039399,             0.06404
